[2022-09-27T09:45:09.886] [INFO] access - path:/api/system/menu/tree | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T09:51:59.687] [INFO] access - path:/api/system/menu/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T09:52:51.177] [INFO] access - path:/api/system/menu/tree | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T09:54:45.034] [INFO] access - path:/api/system/menu/tree | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T10:57:29.919] [INFO] access - path:/api/system/role/list | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T10:58:28.614] [INFO] access - path:/api/system/role/list?pageNum=&pageSize= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T10:58:53.948] [INFO] access - path:/api/system/role/list?pageNum=&pageSize= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T10:59:10.181] [INFO] access - path:/api/system/role/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T10:59:26.072] [INFO] access - path:/api/system/user/login | method:POST | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T10:59:47.080] [INFO] access - path:/api/system/user/login | method:POST | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T10:59:47.522] [INFO] access - path:/api/system/menu/tree | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T11:00:01.810] [INFO] access - path:/api/system/role/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:00:03.078] [INFO] access - path:/api/system/role/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:00:08.008] [INFO] access - path:/api/system/role/list?pageNum=&pageSize= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:01:57.465] [INFO] access - path:/api/system/role/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:02:19.006] [INFO] access - path:/api/system/role/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:02:32.374] [INFO] access - path:/api/system/role/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:03:20.521] [INFO] access - path:/api/system/role/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:03:34.337] [INFO] access - path:/api/system/role/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:03:36.677] [INFO] access - path:/api/system/role/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:03:47.447] [INFO] access - path:/api/system/role/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:03:48.571] [INFO] access - path:/api/system/role/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2022-09-27T11:09:16.769] [INFO] access - path:/api/system/menu/tree | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T13:08:35.750] [INFO] access - path:/api/system/menu/tree | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T13:53:19.477] [INFO] access - path:/api/system/menu/update | method:PUT | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2022-09-27T13:53:19.587] [INFO] access - path:/api/system/menu/tree | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
