[2023-02-22T10:28:52.767] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=1&total=0&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:28:56.399] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=35&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:49:56.103] [INFO] access - path:/api/system/menu/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:51:03.533] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:51:48.737] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:52:04.158] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=35&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:52:05.030] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=36&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:52:33.424] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:52:43.054] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=36&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:52:50.410] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:52:52.942] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=37&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T10:54:25.274] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:54:29.213] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:55:33.827] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:55:42.576] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T10:55:48.205] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=4&total=37&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T11:25:18.347] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:25:29.182] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:25:45.137] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:26:06.303] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:26:25.119] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:26:29.981] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T11:26:35.134] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:00:57.023] [INFO] access - path:/api/log/operation/list?pageSize=10&pageNum=1&total=0&page=1 | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
[2023-02-22T13:03:38.424] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:05:44.834] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:07:02.377] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-22T13:09:09.944] [INFO] access - path:/api/basic/enumType/update | method:PUT | ua:apifox/1.0.0 (https://www.apifox.cn)
